image_id,image_path,num_gt,num_pred,num_tp,num_fp,num_fn
4,./mobile_images/IMG_3677.jpg,0,70,0,70,0
1,./mobile_images/IMG_3674.jpg,19,61,2,59,17
39,./mobile_images/IMG_3712.jpg,2,61,2,59,0
38,./mobile_images/IMG_3711.jpg,2,60,2,58,0
5,./mobile_images/IMG_3678.jpg,0,58,0,58,0
19,./mobile_images/IMG_3692.jpg,2,58,2,56,0
33,./mobile_images/IMG_3706.jpg,2,55,2,53,0
6,./mobile_images/IMG_3679.jpg,1,52,1,51,0
9,./mobile_images/IMG_3682.jpg,2,52,2,50,0
16,./mobile_images/IMG_3689.jpg,2,51,2,49,0
32,./mobile_images/IMG_3705.jpg,2,51,2,49,0
37,./mobile_images/IMG_3710.jpg,2,51,2,49,0
22,./mobile_images/IMG_3695.jpg,3,51,3,48,0
18,./mobile_images/IMG_3691.jpg,2,49,2,47,0
25,./mobile_images/IMG_3698.jpg,2,48,2,46,0
7,./mobile_images/IMG_3680.jpg,2,47,2,45,0
10,./mobile_images/IMG_3683.jpg,2,45,2,43,0
13,./mobile_images/IMG_3686.jpg,2,45,2,43,0
17,./mobile_images/IMG_3690.jpg,2,42,2,40,0
3,./mobile_images/IMG_3676.jpg,0,38,0,38,0
15,./mobile_images/IMG_3688.jpg,2,39,2,37,0
11,./mobile_images/IMG_3684.jpg,2,38,2,36,0
20,./mobile_images/IMG_3693.jpg,1,33,1,32,0
14,./mobile_images/IMG_3687.jpg,1,30,1,29,0
12,./mobile_images/IMG_3685.jpg,1,28,1,27,0
31,./mobile_images/IMG_3704.jpg,1,27,1,26,0
34,./mobile_images/IMG_3707.jpg,1,26,1,25,0
36,./mobile_images/IMG_3709.jpg,1,26,1,25,0
26,./mobile_images/IMG_3699.jpg,1,25,1,24,0
23,./mobile_images/IMG_3696.jpg,1,24,1,23,0
